system:index,idx,lat,lon,.geo
24,24,20.04548005959099,-98.44594104145065,"{""type"":""Polygon"",""coordinates"":[[[-98.44910850148581,20.0424651721743],[-98.44277358148264,20.042465172174303],[-98.44277358148264,20.048494929227385],[-98.44910850148581,20.048494929227385],[-98.44910850148581,20.0424651721743]]]}"
25,25,19.754625134413768,-99.23252757059255,"{""type"":""Polygon"",""coordinates"":[[[-99.23750451390448,19.750879308358353],[-99.2275506273295,19.750879308358353],[-99.22755062732949,19.758370881496198],[-99.23750451390448,19.758370881496194],[-99.23750451390448,19.750879308358353]]]}"
26,26,19.759392815458153,-99.23438652698839,"{""type"":""Polygon"",""coordinates"":[[[-99.24122008674857,19.75626774209139],[-99.22755296722549,19.75626774209139],[-99.22755296722549,19.76251767045059],[-99.24122008674857,19.762517670450592],[-99.24122008674857,19.75626774209139]]]}"
27,27,19.802789165540126,-99.07667052288548,"{""type"":""Polygon"",""coordinates"":[[[-99.0782098819829,19.80135080294571],[-99.07513116372378,19.80135080294571],[-99.07513116372377,19.804227523805224],[-99.0782098819829,19.804227523805224],[-99.0782098819829,19.80135080294571]]]}"
28,28,19.691654632862836,-101.35199038004829,"{""type"":""Polygon"",""coordinates"":[[[-101.35433171970197,19.689756274404235],[-101.34964904045198,19.689756274404235],[-101.34964904045198,19.693552975894946],[-101.35433171970197,19.693552975894946],[-101.35433171970197,19.689756274404235]]]}"
29,29,19.16971775080644,-99.62541698394364,"{""type"":""Polygon"",""coordinates"":[[[-99.62746864498156,19.167709771770273],[-99.62336532287878,19.167709771770273],[-99.62336532287878,19.17172572318359],[-99.62746864498156,19.17172572318359],[-99.62746864498156,19.167709771770273]]]}"
30,30,19.32360878277805,-98.8119958614446,"{""type"":""Polygon"",""coordinates"":[[[-98.83563930506301,19.31420461273924],[-98.78835241782046,19.31420461273924],[-98.78835241782046,19.33301026692643],[-98.83563930506301,19.33301026692643],[-98.83563930506301,19.31420461273924]]]}"
31,31,19.373554183820687,-97.89685497399645,"{""type"":""Polygon"",""coordinates"":[[[-97.8987188803627,19.3702368890106],[-97.894991067522,19.3702368890106],[-97.894991067522,19.376871504743157],[-97.8987188803627,19.376871504743157],[-97.8987188803627,19.3702368890106]]]}"
32,32,19.232716148730656,-96.22311738469824,"{""type"":""Polygon"",""coordinates"":[[[-96.2268373797767,19.228576220991812],[-96.21939738965936,19.228576220991812],[-96.21939738965936,19.236856070790946],[-96.2268373797767,19.236856070790942],[-96.2268373797767,19.228576220991812]]]}"
33,33,18.98430380736322,-98.1373134635149,"{""type"":""Polygon"",""coordinates"":[[[-98.14233164775507,18.97879953654784],[-98.13229527931134,18.97879953654784],[-98.13229527931134,18.989808064325164],[-98.14233164775506,18.98980806432516],[-98.14233164775507,18.97879953654784]]]}"
34,34,18.85368044512233,-98.84813811102997,"{""type"":""Polygon"",""coordinates"":[[[-98.85075840041773,18.851721113812868],[-98.84551782169262,18.851721113812868],[-98.84551782169262,18.855639755149646],[-98.85075840041773,18.855639755149646],[-98.85075840041773,18.851721113812868]]]}"
35,35,18.78558434620304,-98.91864871129654,"{""type"":""Polygon"",""coordinates"":[[[-98.92365616668052,18.782014619865002],[-98.91364125590891,18.782014619865002],[-98.91364125590891,18.789153989543347],[-98.92365616668052,18.789153989543347],[-98.92365616668052,18.782014619865002]]]}"
36,36,18.280460473406876,-99.31176805821616,"{""type"":""Polygon"",""coordinates"":[[[-99.31439841423192,18.276365016220105],[-99.30913770213463,18.276365016220105],[-99.30913770213463,18.28455595905761],[-99.31439841423193,18.28455595905761],[-99.31439841423192,18.276365016220105]]]}"
37,37,16.616459122121015,-98.95902630215882,"{""type"":""Polygon"",""coordinates"":[[[-98.96143201480861,16.614342529605853],[-98.9566205895259,16.614342529605853],[-98.9566205895259,16.61857570270987],[-98.96143201480861,16.61857570270987],[-98.96143201480861,16.614342529605853]]]}"
38,38,16.92431085909942,-96.68605058069512,"{""type"":""Polygon"",""coordinates"":[[[-96.69011389846636,16.921246784233507],[-96.68198726284125,16.921246784233503],[-96.68198726284125,16.92737488708123],[-96.69011389846636,16.92737488708123],[-96.69011389846636,16.921246784233507]]]}"
39,39,16.661956147436623,-93.20050867866216,"{""type"":""Polygon"",""coordinates"":[[[-93.20874437328857,16.65272924108927],[-93.1922729840571,16.652729241089272],[-93.1922729840571,16.67118302505507],[-93.20874437328857,16.67118302505507],[-93.20874437328857,16.65272924108927]]]}"
